A;MES;CATEGORIA;TIPO;DISTRITO;PROVINCIA;LUGAR ;SITIOTURISTICO;ACTIVIDAD;NUMVISITANTES;PROVENIENCIA;PRECIO
2017;enero;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;extranjero;65
2017;enero;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;78;Nacional;30
2017;enero;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;245;extranjero;65
2017;enero;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;1;Nacional;30
2017;enero;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;enero;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;6;extranjero;65
2017;enero;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;11;Nacional;30
2017;enero;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;extranjero;65
2017;enero;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;33;Nacional;30
2017;enero;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;6;extranjero;65
2017;enero;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;Nacional;30
2017;enero;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;enero;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;enero;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;enero;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;enero;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;445;Nacional;30
2017;enero;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;23;extranjero;65
2017;enero;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;13;Nacional;30
2017;enero;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;enero;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;enero;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;enero;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;enero;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;Nacional;30
2017;enero;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;extranjero;65
2017;enero;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;Nacional;30
2017;enero;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;extranjero;65
2017;enero;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;Nacional;30
2017;enero;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;extranjero;65
2017;enero;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;Nacional;30
2017;enero;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;extranjero;65
2017;enero;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;enero;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;enero;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;enero;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;enero;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;Nacional;30
2017;enero;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;79;extranjero;65
2017;enero;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;Nacional;30
2017;enero;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;extranjero;65
2017;enero;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;8;Nacional;30
2017;enero;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;211;extranjero;65
2017;enero;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;Nacional;30
2017;enero;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;extranjero;65
2017;febrero;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 69;Turismo;4684;Nacional;30
2017;febrero;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 70;Turismo;1917;extranjero;65
2017;febrero;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 71;Turismo;496;Nacional;30
2017;febrero;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 72;Turismo;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;167;extranjero;65
2017;febrero;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;Nacional;30
2017;febrero;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;68;extranjero;65
2017;febrero;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;3728;Nacional;30
2017;febrero;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;430;extranjero;65
2017;febrero;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;327;Nacional;30
2017;febrero;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;febrero;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;febrero;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;febrero;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;Nacional;30
2017;febrero;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;extranjero;65
2017;febrero;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;548;Nacional;30
2017;febrero;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;2;extranjero;65
2017;febrero;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;78;Nacional;30
2017;febrero;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;255;extranjero;65
2017;febrero;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;1;Nacional;30
2017;febrero;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;6;extranjero;65
2017;febrero;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;11;Nacional;30
2017;febrero;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;extranjero;65
2017;febrero;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;15;Nacional;30
2017;febrero;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;2;extranjero;65
2017;febrero;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;Nacional;30
2017;febrero;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;febrero;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;febrero;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;febrero;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;252;Nacional;30
2017;febrero;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;21;extranjero;65
2017;febrero;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;10;Nacional;30
2017;febrero;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;febrero;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;febrero;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;febrero;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;Nacional;30
2017;febrero;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;extranjero;65
2017;febrero;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;1561;Nacional;30
2017;febrero;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;149;extranjero;65
2017;febrero;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;Nacional;30
2017;febrero;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;extranjero;65
2017;febrero;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;178;Nacional;30
2017;febrero;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;97;extranjero;65
2017;febrero;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;febrero;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;febrero;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;febrero;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;Nacional;30
2017;febrero;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;extranjero;65
2017;febrero;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;Nacional;30
2017;febrero;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;extranjero;65
2017;febrero;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;Nacional;30
2017;febrero;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;extranjero;65
2017;febrero;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;Nacional;30
2017;febrero;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;extranjero;65
2017;marzo;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 69;Turismo;2347;Nacional;30
2017;marzo;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 70;Turismo;1248;extranjero;65
2017;marzo;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 71;Turismo;231;Nacional;30
2017;marzo;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 72;Turismo;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;1;Nacional;30
2017;marzo;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;295;extranjero;65
2017;marzo;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;Nacional;30
2017;marzo;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;extranjero;65
2017;marzo;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;1467;Nacional;30
2017;marzo;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;418;extranjero;65
2017;marzo;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;121;Nacional;30
2017;marzo;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;marzo;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;marzo;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;marzo;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;marzo;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;Nacional;30
2017;marzo;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;extranjero;65
2017;marzo;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;204;Nacional;30
2017;marzo;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;4;extranjero;65
2017;marzo;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;49;Nacional;30
2017;marzo;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;104;extranjero;65
2017;marzo;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;Nacional;30
2017;marzo;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;marzo;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;extranjero;65
2017;marzo;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;marzo;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;extranjero;65
2017;marzo;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;7;Nacional;30
2017;marzo;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;9;extranjero;65
2017;marzo;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;Nacional;30
2017;marzo;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;marzo;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;7;extranjero;65
2017;marzo;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;marzo;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;marzo;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;140;Nacional;30
2017;marzo;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;8;extranjero;65
2017;marzo;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;19;Nacional;30
2017;marzo;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;marzo;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;2;extranjero;65
2017;marzo;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;marzo;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;marzo;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;Nacional;30
2017;marzo;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;extranjero;65
2017;marzo;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;700;Nacional;30
2017;marzo;convencional;exonerado;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;87;extranjero;65
2017;marzo;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;Nacional;30
2017;marzo;convencional;Con boleto ;Caraz;Huaylas;Paron;Laguna Paron;Turismo;0;extranjero;65
2017;marzo;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;71;Nacional;30
2017;marzo;convencional;exonerado;Caraz;Huaylas;Paron;Laguna Paron;Turismo;84;extranjero;65
2017;marzo;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;marzo;Aventura;Con boleto ;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;marzo;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;Nacional;30
2017;marzo;Aventura;exonerado;Caraz;Huaylas;Paron;Paron;Nevado Artesonraju;0;extranjero;65
2017;marzo;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;2;Nacional;30
2017;marzo;Aventura;Con boleto ;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;29;extranjero;65
2017;marzo;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;Nacional;30
2017;marzo;Aventura;exonerado;Cashapampa;Sihuas;Cashapampa;Cashapampa;trekking ;0;extranjero;65
2017;marzo;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;Nacional;30
2017;marzo;Aventura;Con boleto ;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;197;extranjero;65
2017;marzo;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;Nacional;30
2017;marzo;Aventura;exonerado;San Marcos;Huari;Huaripampa;Huaripampa;trekking ;0;extranjero;65
2017;abril;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 69;Turismo;7176;Nacional;30
2017;abril;convencional;Con boleto ;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 70;Turismo;1732;extranjero;65
2017;abril;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 71;Turismo;336;Nacional;30
2017;abril;convencional;exonerado;Yungay;Yungay;Llanganuco;laguna Chinancocha y laguna 72;Turismo;0;extranjero;65
2017;abril;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;64;Nacional;30
2017;abril;Aventura;Con boleto ;Yungay;Yungay;Llanganuco;PNH;escalada nevados;552;extranjero;65
2017;abril;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;Nacional;30
2017;abril;Aventura;exonerado;Yungay;Yungay;Llanganuco;PNH;escalada nevados;0;extranjero;65
2017;abril;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;3642;Nacional;30
2017;abril;convencional;Con boleto ;Catac;Recuay;carpa;Pastoruri;Turismo;875;extranjero;65
2017;abril;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;200;Nacional;30
2017;abril;convencional;exonerado;Catac;Recuay;carpa;Pastoruri;Turismo;0;extranjero;65
2017;abril;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;abril;Aventura;Con boleto ;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;abril;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;Nacional;30
2017;abril;Aventura;exonerado;Huaraz;Huaraz;Ishinca;PNH;escala nevados;0;extranjero;65
2017;abril;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;Nacional;30
2017;abril;convencional;Con boleto ;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;0;extranjero;65
2017;abril;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;767;Nacional;30
2017;abril;convencional;exonerado;Acopalca;Huari;Purhuay;laguna Purhuay;Turismo;7;extranjero;65
2017;abril;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;108;Nacional;30
2017;abril;convencional;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;276;extranjero;65
2017;abril;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;Nacional;30
2017;abril;convencional;exonerado;Independencia;Huaraz;Quillcayhuanca;Laguna Churup;Turismo;0;extranjero;65
2017;abril;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;abril;Aventura;Con boleto ;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;13;extranjero;65
2017;abril;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;Nacional;30
2017;abril;Aventura;exonerado;Independencia;Huaraz;Quillcayhuanca;Quillcayhuanca;Treking;0;extranjero;65
2017;abril;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;10;Nacional;30
2017;abril;convencional;Con boleto ;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;25;extranjero;65
2017;abril;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;3;Nacional;30
2017;abril;convencional;exonerado;Independencia;Huaraz;Llaca;laguna Llaca;Turismo;0;extranjero;65
2017;abril;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;5;Nacional;30
2017;abril;Aventura;Con boleto ;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;8;extranjero;65
2017;abril;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;Nacional;30
2017;abril;Aventura;exonerado;Independencia;Huaraz;Llaca;Llaca;Escala Ocshapalca y Vallunaraju;0;extranjero;65
2017;abril;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;539;Nacional;30
2017;abril;convencional;Con boleto ;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;38;extranjero;65
2017;abril;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;9;Nacional;30
2017;abril;convencional;exonerado;Shilla;Carhuaz;Ulta;Punta olimpica;Turismo;0;extranjero;65
2017;abril;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;abril;Aventura;Con boleto ;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;1;extranjero;65
2017;abril;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;Nacional;30
2017;abril;Aventura;exonerado;Shilla;Carhuaz;Ulta;Ulta;escalada al nevado Contrahierbas;0;extranjero;65
2017;abril;convencional;Con boleto ;Chavin ;Huaraz;Querococha;Laguna Querocoha;Turismo;0;Nacional;30
